"A G Phillips",,,,
"Andrew Bennison",,,,
"Andrew Jordan",,,,
"Andrew Tutton",,,,
"Anne Howells",,,,
"Cen Phillips",,,,
"Charlotte Lang","Q76449026","2019 United Kingdom general election","Aberavon","Conservative Party"
"Christopher Davies","Q19957299","2019 Brecon and Radnorshire by-election","Brecon and Radnorshire","Conservative Party"
"Claire Waller",,,,
"D G Foster",,,,
"David W. J. Saunders",,,,
"Duncan Higgitt",,,,
"Edward Curran",,,,
"Edward Yi He",,,,
"F McCarthy",,,,
"Francis Bertram Reece",,,,
"G N A Bailey",,,,
"G Rowden",,,,
"Geraint Thomas",,,,
"Giorgia Finney","Q75975836","2019 United Kingdom general election","Aberavon","Green Party of England and Wales"
"Glenda Davies",,,,
"Glyn John",,,,
"Graham Farmer",,,,
"Helen Ceri-Clarke",,,,
"Hywel Williams","Q266189","2019 United Kingdom general election","Arfon","Plaid Cymru"
"Illtyd M. Lewis",,,,
"J Bevan",,,,
"Jim Wright",,,,
"Joe Callan",,,,
"Jonathan Tier",,,,
"Keith Davies",,,,
"Kevin Edwards",,,,
"Lisa Turnbull",,,,
"Marilyn Harris",,,,
"Martin Chapman",,,,
"Miranda La Vey",,,,
"N K Hammond",,,,
"Nigel Hunt","Q76130730","2019 United Kingdom general election","Aberavon","Plaid Cymru"
"Owen Herbert",,,,
"Paul Nicholls-Jones",,,,
"Paul Warwick",,,,
"Peter Bush",,,,
"Peter David",,,,
"Peter Harper",,,,
"Philip Cockwell",,,,
"Philip Evans",,,,
"Ronald McConville",,,,
"Sadie Vidal","Q76363010","2019 United Kingdom general election","Ogmore","Conservative Party"
"Sheila Kingston-Jones","Q75838827","2019 United Kingdom general election","Aberavon","Liberal Democrats"
"Sheila M. Cutts",,,,
"Sidney Hutchinson Byass",,,,
"T G Jones",,,,
"William Henry Williams",,,,
